iter	Logloss	Accuracy
0	0.6541018556	0.9502262443
1	0.6157400173	0.9502262443
2	0.5821553216	0.9502262443
3	0.5485197846	0.9502262443
4	0.51952816	0.9502262443
5	0.494285267	0.9502262443
6	0.4708549874	0.9502262443
7	0.4494929297	0.9502262443
8	0.4298893221	0.9502262443
9	0.411113696	0.9502262443
10	0.3944583947	0.9502262443
11	0.3792711984	0.9502262443
12	0.3640008592	0.9502262443
13	0.3511728892	0.9502262443
14	0.3386442376	0.9502262443
15	0.3278264247	0.9502262443
16	0.3175641921	0.9502262443
17	0.3074123554	0.9502262443
18	0.2972806766	0.9502262443
19	0.2891579702	0.9502262443
20	0.2821153621	0.9502262443
21	0.2754621453	0.9502262443
22	0.2693137776	0.9502262443
23	0.2635502124	0.9502262443
24	0.2579567574	0.9502262443
25	0.2532797621	0.9502262443
26	0.2489562174	0.9502262443
27	0.2441553849	0.9502262443
28	0.2404804732	0.9502262443
29	0.2370785869	0.9502262443
30	0.2335589414	0.9502262443
31	0.2290133803	0.9502262443
32	0.2263665419	0.9502262443
33	0.2219565891	0.9502262443
34	0.2182039228	0.9502262443
35	0.2159625747	0.9502262443
36	0.2132937373	0.9502262443
37	0.2115679855	0.9502262443
38	0.2092017447	0.9502262443
39	0.2066448147	0.9502262443
40	0.2037060334	0.9502262443
41	0.2014424478	0.9502262443
42	0.2000403474	0.9502262443
43	0.1989083089	0.9502262443
44	0.1971622284	0.9502262443
45	0.1952420169	0.9502262443
46	0.194411182	0.9502262443
47	0.1927690975	0.9502262443
48	0.1911015324	0.9502262443
49	0.1894022281	0.9502262443
50	0.1878671945	0.9502262443
51	0.1862118271	0.9502262443
52	0.1849439895	0.9502262443
53	0.1842267628	0.9502262443
54	0.1838226737	0.9502262443
55	0.1826343668	0.9502262443
56	0.1809170086	0.9502262443
57	0.1798680019	0.9502262443
58	0.1790541786	0.9502262443
59	0.1784710916	0.9502262443
60	0.1775083419	0.9502262443
61	0.1768951443	0.9502262443
62	0.1754571996	0.9502262443
63	0.1745370533	0.9502262443
64	0.1734506703	0.9502262443
65	0.1728935939	0.9502262443
66	0.1725551252	0.9502262443
67	0.1717566721	0.9502262443
68	0.1715529561	0.9502262443
69	0.1714027085	0.9502262443
70	0.1707496405	0.9502262443
71	0.1697869798	0.9502262443
72	0.1696145238	0.9502262443
73	0.1690352505	0.9502262443
74	0.1688211603	0.9502262443
75	0.1682320392	0.9502262443
76	0.1677130429	0.9502262443
77	0.1672864802	0.9502262443
78	0.1668795011	0.9502262443
79	0.1665283318	0.9502262443
80	0.1656223455	0.9507918552
81	0.1650789012	0.9507918552
82	0.1646489115	0.9507918552
83	0.164061761	0.9507918552
84	0.1639404488	0.9507918552
85	0.1635131806	0.9507918552
86	0.1630798014	0.9507918552
87	0.1619586859	0.9507918552
88	0.1618806425	0.9507918552
89	0.1616297197	0.9507918552
90	0.1612865537	0.9507918552
91	0.1607168711	0.9507918552
92	0.1603680453	0.9507918552
93	0.1601391478	0.9507918552
94	0.1599092471	0.9507918552
95	0.1594162808	0.9507918552
96	0.1594094064	0.9507918552
97	0.1585224019	0.9507918552
98	0.1583549265	0.9507918552
99	0.1576549096	0.9507918552
100	0.1571583354	0.9507918552
101	0.1568858194	0.9507918552
102	0.1564915186	0.9507918552
103	0.1558623882	0.9507918552
104	0.155392541	0.9507918552
105	0.1552782802	0.9507918552
106	0.1548256405	0.9507918552
107	0.1547495711	0.9507918552
108	0.1543244471	0.9507918552
109	0.1541948395	0.9507918552
110	0.1535112718	0.9507918552
111	0.1531931629	0.9507918552
112	0.1529053596	0.9507918552
113	0.1526101047	0.9507918552
114	0.1524407507	0.9507918552
115	0.1520172719	0.9507918552
116	0.1519275725	0.9507918552
117	0.1511311234	0.9513574661
118	0.1505557392	0.9513574661
119	0.1505556208	0.9513574661
120	0.1501487069	0.9513574661
121	0.1499096335	0.9513574661
122	0.1498426169	0.9513574661
123	0.1497185715	0.9513574661
124	0.1494125775	0.9513574661
125	0.1487455675	0.9513574661
126	0.1485729362	0.9519230769
127	0.1482775854	0.9519230769
128	0.1481964156	0.9519230769
129	0.1480919089	0.9519230769
130	0.1477543268	0.9519230769
131	0.1475861555	0.9519230769
132	0.1475778031	0.9519230769
133	0.1472386863	0.9519230769
134	0.1469735934	0.9519230769
135	0.1465572462	0.9519230769
136	0.1462317546	0.9524886878
137	0.146056061	0.9524886878
138	0.1457661682	0.9524886878
139	0.1451977891	0.9524886878
140	0.1445836891	0.9524886878
141	0.1439400992	0.9524886878
142	0.1438384251	0.9524886878
143	0.1435578889	0.9524886878
144	0.1433686698	0.9524886878
145	0.1431644397	0.9524886878
146	0.1429422234	0.9524886878
147	0.1428054364	0.9524886878
148	0.1423868776	0.9524886878
149	0.1419462984	0.9524886878
150	0.141840032	0.9524886878
151	0.1413920314	0.9530542986
152	0.1412868629	0.9530542986
153	0.1409733408	0.9530542986
154	0.1406339934	0.9530542986
155	0.1402004676	0.9530542986
156	0.1399870383	0.9530542986
157	0.1396657847	0.9536199095
158	0.1389953986	0.9536199095
159	0.1384686422	0.9536199095
160	0.1383580498	0.9536199095
161	0.137984848	0.9536199095
162	0.1375325978	0.9536199095
163	0.1371976253	0.9536199095
164	0.1370686643	0.9536199095
165	0.136846486	0.9536199095
166	0.1367993562	0.9536199095
167	0.1365717832	0.9536199095
168	0.1364578601	0.9536199095
169	0.1364191351	0.9536199095
170	0.135582628	0.9536199095
171	0.1353500952	0.9536199095
172	0.1352134756	0.9536199095
173	0.1349298292	0.9541855204
174	0.1346300764	0.9547511312
175	0.1344237632	0.9547511312
176	0.1341646305	0.9547511312
177	0.1338099745	0.9547511312
178	0.1336640649	0.9547511312
179	0.1336610325	0.9547511312
180	0.1334006061	0.9547511312
181	0.1332517229	0.9547511312
182	0.1330189541	0.9547511312
183	0.1327304162	0.9547511312
184	0.1325691777	0.9547511312
185	0.1322947712	0.9547511312
186	0.1319406274	0.9547511312
187	0.1316445382	0.9547511312
188	0.1315749803	0.9547511312
189	0.1313525991	0.9547511312
190	0.1310733064	0.9547511312
191	0.130812301	0.9547511312
192	0.1306547587	0.9547511312
193	0.1304659062	0.9547511312
194	0.1303138291	0.9547511312
195	0.1299780808	0.9547511312
196	0.1299492281	0.9547511312
197	0.1296616095	0.9547511312
198	0.1296197613	0.9547511312
199	0.1292869459	0.9547511312
200	0.1292066816	0.9547511312
201	0.128923801	0.9547511312
202	0.1284997744	0.9547511312
203	0.1283929071	0.9547511312
204	0.12816529	0.9547511312
205	0.1280812872	0.9547511312
206	0.1278517098	0.9547511312
207	0.1277737655	0.9547511312
208	0.1277411865	0.9553167421
209	0.1276652376	0.9553167421
210	0.1273417955	0.9553167421
211	0.1273194579	0.9553167421
212	0.1272222391	0.9553167421
213	0.1271592257	0.9553167421
214	0.1270374362	0.9553167421
215	0.126938138	0.9553167421
216	0.126798554	0.9553167421
217	0.1263420277	0.9553167421
218	0.1261336409	0.9553167421
219	0.1258669963	0.9553167421
220	0.1257263703	0.9553167421
221	0.1254481579	0.9553167421
222	0.1253259192	0.9553167421
223	0.125218305	0.9553167421
224	0.1249560419	0.9553167421
225	0.1248099617	0.9553167421
226	0.1247092252	0.9553167421
227	0.1246555339	0.9553167421
228	0.1245354343	0.9553167421
229	0.1241542469	0.9553167421
230	0.1238472197	0.9553167421
231	0.1236769264	0.9553167421
232	0.1234938729	0.9558823529
233	0.123421387	0.9558823529
234	0.1233045312	0.9558823529
235	0.1232433895	0.9558823529
236	0.1231144607	0.9558823529
237	0.1229928992	0.9558823529
238	0.1227559489	0.9558823529
239	0.1223644973	0.9558823529
240	0.1222539388	0.9558823529
241	0.1221855137	0.9558823529
242	0.122107529	0.9564479638
