iter	Passed	Remaining
0	6	6717
1	22	11027
2	32	10872
3	51	12892
4	71	14327
5	76	12651
6	80	11413
7	83	10328
8	88	9723
9	97	9669
10	106	9531
11	110	9095
12	123	9398
13	127	8976
14	136	8944
15	140	8671
16	152	8791
17	160	8771
18	175	9082
19	187	9192
20	192	8967
21	196	8743
22	201	8572
23	214	8706
24	226	8825
25	229	8588
26	232	8367
27	240	8360
28	243	8153
29	247	8009
30	263	8234
31	273	8277
32	276	8109
33	290	8244
34	307	8465
35	320	8595
36	333	8683
37	336	8519
38	346	8548
39	367	8822
40	379	8878
41	390	8909
42	406	9041
43	428	9311
44	437	9294
45	479	9949
46	486	9863
47	513	10190
48	552	10727
49	672	12773
50	777	14473
51	831	15153
52	885	15822
53	930	16301
54	940	16155
55	1077	18166
56	1116	18471
57	1147	18644
58	1175	18753
59	1208	18935
60	1317	20285
61	1337	20234
62	1367	20331
63	1384	20241
64	1405	20210
65	1425	20167
66	1475	20547
67	1543	21158
68	1694	22859
69	1703	22631
70	1736	22716
71	1777	22907
72	1792	22757
73	1804	22586
74	1817	22418
75	1831	22270
76	1845	22124
77	1870	22105
78	1883	21963
79	1897	21818
80	1912	21694
81	1928	21593
82	1945	21499
83	1967	21457
84	1977	21283
85	1992	21176
86	2004	21033
87	2023	20975
88	2030	20779
89	2041	20636
90	2056	20538
91	2069	20423
92	2082	20305
93	2092	20170
94	2104	20048
95	2114	19907
96	2117	19708
97	2135	19653
98	2145	19529
99	2164	19478
100	2178	19386
101	2191	19296
102	2210	19252
103	2259	19463
104	2283	19465
105	2301	19408
106	2313	19308
107	2323	19186
108	2336	19101
109	2347	18992
110	2360	18905
111	2372	18813
112	2387	18740
113	2401	18664
114	2411	18558
115	2422	18463
116	2432	18356
117	2448	18302
118	2458	18201
119	2463	18065
120	2476	17993
121	2487	17903
122	2494	17787
123	2502	17680
124	2518	17631
125	2536	17593
126	2556	17571
127	2569	17507
128	2591	17498
129	2611	17478
130	2650	17579
131	2670	17562
132	2680	17472
133	2699	17446
134	2721	17435
135	2736	17387
136	2748	17311
137	2758	17230
138	2773	17179
139	2790	17141
140	2824	17210
141	2856	17259
142	2873	17222
143	2890	17181
144	2917	17202
145	2933	17157
146	2980	17293
147	3004	17298
148	3018	17242
149	3033	17188
150	3072	17272
151	3090	17241
152	3122	17285
153	3216	17669
154	3282	17895
155	3316	17941
156	3335	17907
157	3361	17913
158	3379	17877
159	3392	17810
160	3419	17819
161	3457	17886
162	3472	17832
163	3482	17752
164	3496	17693
165	3508	17629
166	3518	17548
167	3542	17545
168	3562	17518
169	3568	17424
170	3589	17401
171	3601	17335
172	3620	17306
173	3633	17250
174	3651	17214
175	3667	17172
176	3694	17177
177	3706	17118
178	3726	17090
179	3729	16987
180	3747	16957
181	3762	16909
182	3778	16868
183	3791	16816
184	3807	16775
185	3819	16714
186	3837	16683
187	3861	16677
188	3885	16672
189	3906	16654
190	3925	16627
191	3945	16602
192	3978	16635
193	4006	16643
194	4024	16612
195	4047	16602
196	4060	16550
197	4077	16515
198	4089	16461
199	4106	16427
200	4126	16401
201	4149	16390
202	4167	16361
203	4184	16327
204	4202	16295
205	4212	16234
206	4224	16181
207	4242	16154
208	4257	16114
209	4276	16087
210	4293	16053
211	4310	16022
212	4337	16027
213	4348	15971
214	4364	15935
215	4376	15885
216	4390	15841
217	4405	15804
218	4420	15763
219	4439	15740
220	4458	15715
221	4476	15688
222	4490	15645
223	4504	15606
224	4522	15576
225	4549	15580
226	4568	15556
227	4597	15567
228	4621	15558
229	4648	15561
230	4666	15536
231	4689	15525
232	4733	15582
233	4752	15557
234	4779	15558
235	4833	15646
236	4956	15957
237	5018	16066
238	5062	16118
239	5112	16189
240	5257	16557
241	5368	16814
242	5406	16841
243	5417	16784
244	5490	16920
245	5504	16871
246	5534	16872
247	5584	16933
248	5595	16877
249	5604	16812
250	5616	16760
251	5639	16738
252	5654	16695
253	5668	16648
254	5683	16605
255	5699	16563
256	5711	16513
257	5722	16458
258	5732	16402
259	5744	16348
260	5755	16294
261	5774	16264
262	5799	16252
263	5826	16243
264	5859	16251
265	5876	16216
266	5898	16194
267	5918	16165
268	5933	16124
269	5948	16082
270	5962	16038
271	5987	16026
272	6003	15987
273	6016	15942
274	6032	15903
275	6044	15855
276	6054	15803
277	6065	15753
278	6078	15708
279	6092	15666
280	6106	15623
281	6113	15565
282	6130	15531
283	6143	15489
284	6155	15443
285	6169	15401
286	6183	15360
287	6190	15304
288	6202	15258
289	6214	15215
290	6224	15164
291	6238	15127
292	6249	15079
293	6258	15029
294	6272	14989
295	6284	14947
296	6294	14899
297	6305	14853
298	6317	14811
299	6331	14774
300	6342	14728
301	6355	14689
302	6368	14648
303	6383	14614
304	6394	14572
305	6404	14525
306	6417	14485
307	6430	14447
308	6439	14400
309	6451	14359
310	6459	14309
311	6471	14270
312	6484	14231
313	6494	14189
314	6507	14150
315	6524	14123
316	6543	14097
317	6557	14062
318	6568	14021
319	6581	13986
320	6590	13940
321	6598	13894
322	6616	13867
323	6635	13843
324	6651	13815
325	6668	13786
326	6683	13755
327	6698	13723
328	6712	13690
329	6730	13664
330	6741	13624
331	6753	13588
332	6765	13551
333	6778	13515
334	6787	13473
335	6795	13428
336	6803	13385
337	6811	13341
338	6820	13298
339	6827	13254
340	6839	13217
341	6848	13177
342	6865	13149
343	6879	13118
344	6894	13088
345	6905	13052
346	6921	13024
347	6930	12985
348	6944	12953
349	6957	12921
350	6975	12897
351	7001	12888
352	7014	12855
353	7024	12818
354	7036	12784
355	7043	12741
356	7053	12703
357	7064	12668
358	7074	12632
359	7081	12589
360	7088	12547
361	7096	12507
362	7110	12477
363	7125	12450
364	7140	12423
365	7151	12388
366	7163	12354
367	7173	12319
368	7182	12281
369	7189	12242
370	7196	12200
371	7207	12167
372	7220	12136
373	7230	12102
374	7240	12066
375	7251	12034
376	7260	11998
377	7280	11980
378	7289	11944
379	7305	11919
380	7344	11932
381	7356	11902
382	7369	11872
383	7376	11833
384	7388	11802
385	7397	11767
386	7414	11744
387	7425	11712
388	7438	11683
389	7447	11647
390	7457	11615
391	7469	11585
392	7481	11555
393	7490	11520
394	7503	11493
395	7517	11466
396	7529	11436
397	7539	11404
398	7548	11370
399	7555	11333
400	7565	11300
401	7572	11265
402	7580	11230
403	7586	11192
404	7598	11163
405	7610	11134
406	7617	11098
407	7627	11067
408	7632	11028
409	7637	10990
410	7647	10958
411	7655	10925
412	7665	10895
413	7673	10861
414	7684	10831
415	7697	10806
416	7707	10775
