iter	Logloss	Accuracy
0	0.64092592	0.95173454
1	0.5970120664	0.95173454
2	0.5573420425	0.95173454
3	0.5216542333	0.95173454
4	0.4889491426	0.95173454
5	0.4601212838	0.95173454
6	0.4309789378	0.95173454
7	0.4077045847	0.95173454
8	0.3866532822	0.95173454
9	0.3678640359	0.95173454
10	0.3511439105	0.95173454
11	0.3358599551	0.95173454
12	0.3214718626	0.95173454
13	0.3093317655	0.95173454
14	0.2977084281	0.95173454
15	0.285421346	0.95173454
16	0.2764360427	0.95173454
17	0.2668923458	0.95173454
18	0.2598623727	0.95173454
19	0.2534849139	0.95173454
20	0.2459468827	0.95173454
21	0.2401378455	0.95173454
22	0.2332777098	0.95173454
23	0.2273515081	0.95173454
24	0.2233485693	0.95173454
25	0.2197185796	0.95173454
26	0.2151382066	0.95173454
27	0.212451907	0.95173454
28	0.2095284977	0.95173454
29	0.207311183	0.95173454
30	0.2052888713	0.95173454
31	0.2023889363	0.95173454
32	0.2005015251	0.95173454
33	0.1982672412	0.95173454
34	0.1969044713	0.95173454
35	0.1938583044	0.95173454
36	0.1911779263	0.95173454
37	0.1894899969	0.95173454
38	0.188552665	0.95173454
39	0.1860424647	0.95173454
40	0.1853302605	0.95173454
41	0.1844313676	0.95173454
42	0.1837675511	0.95173454
43	0.1816046743	0.95173454
44	0.1800462948	0.95173454
45	0.1789541776	0.95173454
46	0.1777747678	0.95173454
47	0.1764445039	0.95173454
48	0.1749513861	0.95173454
49	0.1736860088	0.95173454
50	0.1725862767	0.95173454
51	0.1709924665	0.95173454
52	0.1705433698	0.95173454
53	0.1695033429	0.95173454
54	0.168750107	0.95173454
55	0.1678583744	0.95173454
56	0.1669981916	0.95173454
57	0.1664684734	0.95173454
58	0.1659779694	0.95173454
59	0.1651539115	0.95173454
60	0.1642661333	0.95173454
61	0.163614758	0.9522373052
62	0.1626860871	0.9522373052
63	0.1620720357	0.9522373052
64	0.1618998035	0.9522373052
65	0.1610758623	0.9522373052
66	0.1604713176	0.9522373052
67	0.1600184872	0.9522373052
68	0.1590185266	0.9522373052
69	0.1586205578	0.9522373052
70	0.1582835747	0.9522373052
71	0.157501573	0.9522373052
72	0.1572400152	0.9522373052
73	0.1564987134	0.9522373052
74	0.1558904994	0.9522373052
75	0.1554168391	0.9522373052
76	0.1551163702	0.9522373052
77	0.1547895969	0.9522373052
78	0.1542455594	0.9522373052
79	0.1537234107	0.9522373052
80	0.1533696757	0.9522373052
81	0.1526582298	0.9522373052
82	0.1519298383	0.9522373052
