iter	Passed	Remaining
0	6	6390
1	8	4341
2	11	3741
3	13	3301
4	15	3038
5	16	2701
6	20	2879
7	21	2707
8	24	2702
9	28	2781
10	30	2766
11	32	2666
12	34	2610
13	35	2502
14	39	2619
15	45	2812
16	47	2728
17	53	2894
18	54	2799
19	55	2739
20	61	2843
21	66	2935
22	69	2948
23	73	2995
24	78	3047
25	82	3072
26	85	3098
27	87	3028
28	91	3071
29	93	3029
30	94	2967
31	98	2976
32	100	2958
33	104	2967
34	105	2906
35	110	2957
36	114	2981
37	119	3026
38	121	2993
39	126	3029
40	127	2974
41	128	2935
42	130	2893
43	134	2914
44	140	2975
45	144	3006
46	149	3040
47	155	3090
48	160	3106
49	165	3141
50	172	3205
51	178	3245
52	182	3262
53	189	3319
54	193	3319
55	197	3326
56	205	3395
57	207	3367
58	213	3401
59	221	3466
60	228	3519
61	235	3562
62	241	3591
63	248	3628
64	254	3666
65	261	3698
66	266	3706
67	274	3764
68	280	3787
69	286	3800
70	288	3781
71	294	3789
72	298	3795
73	304	3806
74	310	3824
75	318	3871
76	324	3894
77	332	3935
78	337	3929
79	341	3932
80	347	3947
81	354	3970
82	359	3968
83	366	3995
84	371	3997
85	375	3986
86	381	4005
87	386	4007
88	391	4008
89	398	4031
90	404	4037
91	410	4048
92	414	4040
93	417	4026
94	424	4042
95	426	4019
96	433	4037
97	435	4007
98	440	4006
99	447	4031
100	452	4030
101	458	4038
102	470	4096
103	473	4083
104	479	4089
105	489	4131
106	498	4163
107	504	4166
108	508	4157
109	515	4170
110	521	4172
111	524	4157
112	529	4158
113	533	4149
114	536	4130
115	541	4123
116	545	4116
117	552	4128
118	559	4140
119	564	4137
120	570	4145
121	577	4155
122	582	4152
123	587	4148
124	593	4155
125	600	4162
126	605	4162
127	612	4173
128	616	4164
129	622	4167
130	627	4161
131	632	4158
132	634	4132
133	635	4107
134	640	4103
135	645	4099
136	649	4094
137	656	4101
138	661	4095
139	665	4088
140	671	4092
141	675	4083
142	680	4076
143	684	4068
144	690	4071
145	695	4068
146	699	4058
147	705	4062
148	710	4058
149	713	4041
150	720	4048
151	723	4038
152	728	4035
153	734	4035
154	739	4032
155	745	4030
156	752	4040
157	756	4033
158	762	4032
159	768	4035
160	773	4030
161	779	4032
162	784	4029
163	790	4027
164	793	4016
165	799	4016
166	803	4008
167	810	4012
168	815	4008
169	822	4016
170	827	4014
171	833	4011
172	840	4017
173	844	4008
174	848	4001
175	856	4009
176	860	4003
177	866	4000
178	872	4000
179	876	3993
180	878	3977
181	883	3972
182	889	3972
183	897	3980
184	903	3980
185	909	3980
186	912	3968
187	919	3972
188	924	3967
189	930	3966
190	935	3964
191	939	3952
192	945	3953
193	949	3946
194	956	3946
195	962	3948
196	965	3935
197	980	3970
198	982	3956
199	987	3949
200	995	3955
201	1001	3954
202	1008	3959
203	1013	3956
204	1020	3956
205	1026	3958
206	1032	3954
207	1038	3953
208	1042	3946
